date,n_equity_norm,t_equity_norm,combo_equity
2020-01-02,1.0,1.0,1.0
2020-01-03,1.0,1.0023591488112407,1.0011795744056204
2020-01-06,1.0,0.9992287038007455,0.9996143519003727
2020-01-07,1.0,1.013816285853417,1.0069081429267084
2020-01-08,1.0,1.0012548440035502,1.000627422001775
2020-01-09,1.0,1.0230223522695305,1.0115111761347653
2020-01-10,1.0,1.035349047181508,1.017674523590754
2020-01-13,1.0,1.0399073076234717,1.019953653811736
2020-01-14,1.0,1.0452952614264588,1.0226476307132293
2020-01-15,1.0,1.046368417863731,1.0231842089318655
2020-01-16,1.0,1.053701943091128,1.026850971545564
2020-01-17,1.0,1.0617236571520223,1.0308618285760112
2020-01-20,1.0,1.0598269849047237,1.0299134924523619
2020-01-21,1.0,1.060860715908171,1.0304303579540854
2020-01-22,1.0,1.0586560058718575,1.0293280029359289
2020-01-23,1.0,1.0387823706503807,1.0193911853251905
2020-02-03,1.0,1.0433559880980257,1.0216779940490128
2020-02-04,1.0,1.0340928525706672,1.0170464262853336
2020-02-05,1.0,1.0340928525706672,1.0170464262853336
2020-02-06,1.0,1.0436851763387942,1.021842588169397
2020-02-07,1.0,1.0447862585466337,1.0223931292733168
2020-02-10,1.0,1.0491191349014382,1.024559567450719
2020-02-11,1.0,1.0752933219517913,1.0376466609758956
2020-02-12,1.0,1.0941193120911288,1.0470596560455645
2020-02-13,1.0,1.1366763643857123,1.0683381821928561
2020-02-14,1.0,1.101463744557005,1.0507318722785026
2020-02-17,1.0,1.0950641878209775,1.0475320939104886
2020-02-18,1.0,1.0688900007706246,1.0344450003853123
2020-02-19,1.0,1.0585876435509116,1.0292938217754557
2020-02-20,1.0,1.0681953762633396,1.03409768813167
2020-02-21,1.0,1.0536097922623193,1.0268048961311598
2020-02-24,1.0,1.0389692532848684,1.0194846266424342
2020-02-25,1.0,1.0468556085099316,1.0234278042549658
2020-02-26,1.0,1.0223932744411217,1.0111966372205607
2020-02-27,1.0,1.0242965779033195,1.0121482889516598
2020-02-28,1.0,0.9845820484806502,0.9922910242403251
2020-03-02,1.0,0.9931164660269536,0.9965582330134768
2020-03-03,1.0,0.9905200079651715,0.9952600039825857
2020-03-04,1.0,0.9905200079651715,0.9952600039825857
2020-03-05,1.0,0.9909443284992827,0.9954721642496414
2020-03-06,1.0,0.9888227258287263,0.9944113629143632
2020-03-09,1.0,0.982033597282946,0.9910167986414731
2020-03-10,1.0,0.9858524820899475,0.9929262410449737
2020-03-11,1.0,0.9828822383511685,0.9914411191755843
2020-03-12,1.0,0.9811849562147235,0.9905924781073617
2020-03-13,1.0,0.9867011231581699,0.993350561579085
2020-03-16,1.0,0.9892000506996501,0.9946000253498251
2020-03-17,1.0,0.9892000506996501,0.9946000253498251
2020-03-18,1.0,0.9892000506996501,0.9946000253498251
2020-03-19,1.0,0.9892000506996501,0.9946000253498251
2020-03-20,1.0,0.9892000506996501,0.9946000253498251
2020-03-23,1.0,0.9892000506996501,0.9946000253498251
2020-03-24,1.0,0.9892000506996501,0.9946000253498251
2020-03-25,1.0,0.9892000506996501,0.9946000253498251
2020-03-26,1.0,0.9892000506996501,0.9946000253498251
2020-03-27,1.0,0.9892000506996501,0.9946000253498251
2020-03-30,1.0,0.9892000506996501,0.9946000253498251
2020-03-31,1.0,0.9892000506996501,0.9946000253498251
2020-04-01,1.0,0.9892000506996501,0.9946000253498251
2020-04-02,1.0,0.9892000506996501,0.9946000253498251
2020-04-03,1.0,0.9892000506996501,0.9946000253498251
2020-04-07,1.0,0.9892000506996501,0.9946000253498251
2020-04-08,1.0,0.9892000506996501,0.9946000253498251
2020-04-09,1.0,0.9892000506996501,0.9946000253498251
2020-04-10,1.0,0.9892000506996501,0.9946000253498251
2020-04-13,1.0,0.9892000506996501,0.9946000253498251
2020-04-14,1.0,0.9892000506996501,0.9946000253498251
2020-04-15,1.0,0.9892000506996501,0.9946000253498251
2020-04-16,1.0,0.9892000506996501,0.9946000253498251
2020-04-17,1.0,0.9892000506996501,0.9946000253498251
2020-04-20,1.0,0.9888679629385159,0.994433981469258
2020-04-21,1.0,0.9848837321181084,0.9924418660590542
2020-04-22,1.0,0.9863768075844068,0.9931884037922034
2020-04-23,1.0,0.990193414419478,0.995096707209739
2020-04-24,1.0,0.9882692617226656,0.9941346308613328
2020-04-27,1.0,0.9980064527381758,0.9990032263690879
2020-04-28,1.0,1.0033185095357098,1.001659254767855
2020-04-29,1.0,1.0137587338994856,1.0068793669497427
2020-04-30,1.0,1.0151197256035276,1.007559862801764
2020-05-06,1.0,1.0151778839775063,1.0075889419887532
2020-05-07,1.0,1.0155945862337212,1.0077972931168606
2020-05-08,1.0,1.0240209588421936,1.0120104794210967
2020-05-11,1.0,1.0164797906819074,1.0082398953409537
2020-05-12,1.0,1.0062196120599545,1.0031098060299772
2020-05-13,1.0,1.0072962433696626,1.0036481216848312
2020-05-14,1.0,0.9928358319957203,0.9964179159978601
2020-05-15,1.0,0.9979529870592966,0.9989764935296483
2020-05-18,1.0,1.005792878419985,1.0028964392099926
2020-05-19,1.0,1.0240780818840696,1.0120390409420348
2020-05-20,1.0,1.0178515931001946,1.0089257965500973
2020-05-21,1.0,1.015704701080244,1.007852350540122
2020-05-22,1.0,0.9925260857277578,0.9962630428638789
