year,n_return,t_return,combo_return,n_active,t_active
2020,0.15866652617284527,0.31986583712717076,0.23926618165000635,True,True
2021,0.01110789662290812,0.0460003690599593,0.029688804834753224,True,True
2022,0.04608036061233034,0.10838280983294735,0.07978317437611682,True,True
2023,0.12543706305702362,0.327131949997302,0.23743477625240939,True,True
2024,0.03459957421024229,0.008706394127037775,0.019179323105416923,True,True
2025,0.16303664510634275,0.4890023411302049,0.3551652909847902,True,True
2026,0.050330530093754655,0.005393102786031223,0.021227946883776827,True,True
