year,n_return,t_return,combo_return,n_active,t_active
2020,0.12387348748262794,0.31986583712717076,0.22186966230489769,True,True
2021,-0.006912774171666802,0.0460003690599593,0.021665662727527124,True,True
2022,0.042097240008337256,0.10838280983294735,0.07875086606250314,True,True
2023,0.07030915330550314,0.327131949997302,0.21622422265748997,True,True
2024,0.009501899305016881,0.008706394127037775,0.00900871409771975,True,True
2025,0.15519105057723248,0.4890023411302049,0.36208029313710566,True,True
2026,0.049810068431569654,0.005393102786031223,0.019716170393489163,True,True
