date,n_equity,t_equity,combined
2014-01-02,400000.0,600000.0,500000.0
2014-01-03,400000.0,600000.0,500000.0
2014-01-06,400000.0,600000.0,500000.0
2014-01-07,400000.0,600000.0,500000.0
2014-01-08,400000.0,600000.0,500000.0
2014-01-09,400000.0,600000.0,500000.0
2014-01-10,400000.0,600000.0,500000.0
2014-01-13,400000.0,600000.0,500000.0
2014-01-14,400000.0,600000.0,500000.0
2014-01-15,400000.0,600000.0,500000.0
2014-01-16,400000.0,600000.0,500000.0
2014-01-17,400000.0,600000.0,500000.0
2014-01-20,400000.0,600000.0,500000.0
2014-01-21,400000.0,600000.0,500000.0
2014-01-22,400000.0,600000.0,500000.0
2014-01-23,400000.0,600000.0,500000.0
2014-01-24,400000.0,600000.0,500000.0
2014-01-27,400000.0,600000.0,500000.0
2014-01-28,400000.0,600000.0,500000.0
2014-01-29,400000.0,600000.0,500000.0
2014-01-30,400000.0,600000.0,500000.0
2014-02-07,400000.0,600000.0,500000.0
2014-02-10,400000.0,600000.0,500000.0
2014-02-11,400000.0,600000.0,500000.0
2014-02-12,400000.0,600000.0,500000.0
2014-02-13,400000.0,597855.2698795826,498927.6349397913
2014-02-14,400000.0,600922.0398795826,500461.0199397913
2014-02-17,400000.0,604593.5959299826,502296.7979649913
2014-02-18,400000.0,600740.2359299825,500370.11796499125
2014-02-19,400000.0,601549.8559299826,500774.9279649913
2014-02-20,400000.0,597655.3359299825,498827.66796499124
2014-02-21,400000.0,598592.4959299825,499296.24796499126
2014-02-24,400000.0,599996.9059299825,499998.4529649913
2014-02-25,400000.0,601144.1514356546,500572.0757178273
2014-02-26,400000.0,606194.6514356546,503097.3257178273
2014-02-27,400000.0,599849.1514356546,499924.5757178273
2014-02-28,400000.0,602309.6514356546,501154.8257178273
2014-03-03,400000.0,606194.6514356546,503097.3257178273
2014-03-04,400000.0,605158.6514356546,502579.3257178273
2014-03-05,400000.0,602698.1514356546,501349.0757178273
2014-03-06,400000.0,602568.6514356546,501284.3257178273
2014-03-07,400000.0,605935.6514356546,502967.8257178273
2014-03-10,400000.0,600885.1514356546,500442.5757178273
2014-03-11,400000.0,604899.6514356546,502449.8257178273
2014-03-12,400000.0,608396.1514356546,504198.0757178273
2014-03-13,400000.0,611763.1514356546,505881.5757178273
2014-03-14,400000.0,611504.1514356546,505752.0757178273
2014-03-17,400000.0,615389.1514356546,507694.5757178273
2014-03-18,400000.0,610727.1514356546,505363.5757178273
2014-03-19,400000.0,609950.1514356546,504975.0757178273
2014-03-20,400000.0,605676.6514356546,502838.3257178273
2014-03-21,400000.0,605676.6514356546,502838.3257178273
2014-03-24,400000.0,604770.1514356546,502385.0757178273
2014-03-25,400000.0,602307.4232068546,501153.7116034273
2014-03-26,400000.0,602307.4232068546,501153.7116034273
2014-03-27,400000.0,602307.4232068546,501153.7116034273
2014-03-28,400000.0,602307.4232068546,501153.7116034273
2014-03-31,400000.0,602307.4232068546,501153.7116034273
2014-04-01,400000.0,602307.4232068546,501153.7116034273
2014-04-02,400000.0,602307.4232068546,501153.7116034273
2014-04-03,400000.0,602307.4232068546,501153.7116034273
2014-04-04,400000.0,602307.4232068546,501153.7116034273
2014-04-08,400000.0,602307.4232068546,501153.7116034273
2014-04-09,400000.0,602307.4232068546,501153.7116034273
2014-04-10,400000.0,602307.4232068546,501153.7116034273
2014-04-11,400000.0,602307.4232068546,501153.7116034273
2014-04-14,400000.0,602307.4232068546,501153.7116034273
2014-04-15,400000.0,602307.4232068546,501153.7116034273
2014-04-16,400000.0,602307.4232068546,501153.7116034273
2014-04-17,400000.0,602307.4232068546,501153.7116034273
2014-04-18,400000.0,602307.4232068546,501153.7116034273
2014-04-21,400000.0,602307.4232068546,501153.7116034273
2014-04-22,400000.0,602307.4232068546,501153.7116034273
2014-04-23,400000.0,602307.4232068546,501153.7116034273
2014-04-24,400000.0,602307.4232068546,501153.7116034273
2014-04-25,400000.0,602307.4232068546,501153.7116034273
2014-04-28,400000.0,602307.4232068546,501153.7116034273
2014-04-29,400000.0,602307.4232068546,501153.7116034273
2014-04-30,400000.0,602307.4232068546,501153.7116034273
2014-05-05,400000.0,602307.4232068546,501153.7116034273
2014-05-06,400000.0,602307.4232068546,501153.7116034273
2014-05-07,400000.0,602307.4232068546,501153.7116034273
2014-05-08,400000.0,602307.4232068546,501153.7116034273
2014-05-09,400000.0,602307.4232068546,501153.7116034273
2014-05-12,400000.0,602307.4232068546,501153.7116034273
2014-05-13,400000.0,602307.4232068546,501153.7116034273
2014-05-14,400000.0,603364.7248146726,501682.3624073363
2014-05-15,400000.0,602456.7248146726,501228.3624073363
2014-05-16,400000.0,600863.1848146727,500431.59240733634
2014-05-19,400000.0,601544.1848146727,500772.09240733634
2014-05-20,400000.0,603364.7248146726,501682.3624073363
2014-05-21,400000.0,601771.1848146727,500885.59240733634
2014-05-22,400000.0,604953.7248146727,502476.86240733636
2014-05-23,400000.0,606088.7248146726,503044.3624073363
2014-05-26,400000.0,608131.7248146726,504065.8624073363
2014-05-27,400000.0,609266.7248146726,504633.3624073363
2014-05-28,400000.0,612805.7767547597,506402.88837737986
2014-05-29,400000.0,610535.7767547596,505267.8883773798
2014-05-30,400000.0,617354.8567547597,508677.42837737984
2014-06-03,400000.0,615983.7767547596,507991.8883773798
2014-06-04,400000.0,614621.7767547596,507310.8883773798
2014-06-05,400000.0,618716.8567547596,509358.4283773798
2014-06-06,400000.0,624618.8567547597,512309.42837737984
2014-06-09,400000.0,625072.8567547597,512536.42837737984
2014-06-10,400000.0,621894.8567547597,510947.42837737984
2014-06-11,400000.0,624618.8567547597,512309.42837737984
2014-06-12,400000.0,621440.8567547597,510720.42837737984
2014-06-13,400000.0,618262.8567547596,509131.4283773798
2014-06-16,400000.0,617354.8567547597,508677.42837737984
2014-06-17,400000.0,619170.8567547596,509585.4283773798
2014-06-18,400000.0,618716.8567547596,509358.4283773798
2014-06-19,400000.0,625526.8567547597,512763.42837737984
2014-06-20,400000.0,624164.8567547597,512082.42837737984
2014-06-23,400000.0,625072.8567547597,512536.42837737984
2014-06-24,400000.0,625072.8567547597,512536.42837737984
2014-06-25,400000.0,624164.8567547597,512082.42837737984
2014-06-26,400000.0,628704.8567547597,514352.42837737984
2014-06-27,400000.0,630520.8567547596,515260.4283773798
2014-06-30,400000.0,631882.8567547597,515941.42837737984
2014-07-01,400000.0,632790.8567547597,516395.42837737984
2014-07-02,400000.0,638692.8567547597,519346.42837737984
2014-07-03,400000.0,639600.8567547597,519800.42837737984
2014-07-04,400000.0,647327.9367547596,523663.9683773798
2014-07-07,400000.0,648689.9367547596,524344.9683773798
2014-07-08,400000.0,646873.9367547596,523436.9683773798
2014-07-09,400000.0,637784.8567547596,518892.4283773798
2014-07-10,400000.0,640971.9367547596,520485.9683773798
2014-07-11,400000.0,636422.8567547597,518211.42837737984
2014-07-14,400000.0,640517.9367547596,520258.9683773798
2014-07-15,400000.0,645511.9367547596,522755.9683773798
2014-07-16,400000.0,643241.9367547596,521620.9683773798
