Filter,CAGR%,MDD%,Sharpe,Calmar,WR%,PF,Trades
原基线(做多+做空),19.24,38.15,0.4083,0.5043,36.7,1.957,60
原基线+RSI>65,0.32,47.37,-0.0058,0.0067,30.9,1.985,55
原基线+RSI>70,21.25,36.18,0.4251,0.5872,37.3,2.170,59
原基线+RSI>75,19.56,39.26,0.4103,0.4982,37.7,1.924,61
