Filter,CAGR%,MDD%,Sharpe,Calmar,WR%,PF,Trades
基线(无过滤),9.51,12.32,0.7154,0.7722,50.0,3.291,44
RSI>65,7.98,15.68,0.6393,0.5090,48.8,3.272,41
RSI>70,9.19,13.21,0.6977,0.6958,48.9,3.547,45
RSI>75,10.09,13.01,0.7673,0.7756,50.0,3.508,44
