run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range
32,A,15,15,10,1.5,0.05,0.15,8,110.7699,7.7421,0.5263,26.751,40.37,2.5856,109,0.0,0.2894,210769.92,2014-01-01~2024-01-01
33,B,15,15,10,1.5,0.05,0.15,8,94.6654,6.889,0.344,27.1487,31.82,3.9568,66,0.0,0.2537,194665.41,2014-01-01~2024-01-01
34,A,15,15,10,1.5,0.1,0.15,8,110.8965,7.7485,0.5302,26.4174,40.37,2.588,109,0.0,0.2933,210896.49,2014-01-01~2024-01-01
35,B,15,15,10,1.5,0.1,0.15,8,105.0975,7.4485,0.3716,27.0343,33.87,3.8121,62,0.0,0.2755,205097.48,2014-01-01~2024-01-01
36,A,15,15,10,1.5,0.15,0.15,8,100.4052,7.2001,0.5356,22.5655,40.74,2.479,108,0.0,0.3191,200405.18,2014-01-01~2024-01-01
37,B,15,15,10,1.5,0.15,0.15,8,100.0043,7.1786,0.3609,28.6752,33.87,3.6453,62,0.0,0.2503,200004.26,2014-01-01~2024-01-01
38,A,15,15,10,1.5,0.2,0.15,8,102.0986,7.2903,0.5563,21.7112,41.82,2.3804,110,0.0,0.3358,202098.57,2014-01-01~2024-01-01
39,B,15,15,10,1.5,0.2,0.15,8,100.0135,7.1791,0.3629,28.5434,34.38,3.5558,64,0.0,0.2515,200013.46,2014-01-01~2024-01-01
40,A,15,15,10,2.0,0.0,0.15,8,121.0782,8.2578,0.5661,24.4176,40.19,2.6848,107,0.0,0.3382,221078.21,2014-01-01~2024-01-01
41,B,15,15,10,2.0,0.0,0.15,8,96.0711,6.9659,0.3439,27.2752,31.82,3.9764,66,0.0,0.2554,196071.13,2014-01-01~2024-01-01
42,A,15,15,10,2.0,0.05,0.15,8,110.7699,7.7421,0.5263,26.751,40.37,2.5856,109,0.0,0.2894,210769.92,2014-01-01~2024-01-01
