strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,358.79,14.0,0.7129,39.47,13.55,,,4,458791.43
B2,323.74,13.31,0.6583,28.63,12.8,55.5,1.65,200,423739.96
B3,131.68,8.12,0.4073,34.11,7.26,54.02,1.13,361,231682.37
B4,322.29,12.71,0.7301,16.13,12.76,45.83,,120,422290.33
