strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,358.79,14.05,0.7129,39.47,13.55,,,4,458791.43
B2,323.74,13.27,0.6583,28.63,12.8,55.5,1.65,200,423739.96
B3,133.56,8.2,0.4096,35.11,7.33,54.52,1.12,365,233556.7
B4,223.05,10.24,0.6493,16.11,10.27,46.84,,79,323046.47
