strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,358.79,14.0,0.7129,39.47,13.56,,,4,458791.43
B2,323.74,13.31,0.6583,28.63,12.81,55.5,1.65,200,423739.96
B3,125.98,8.0,0.3904,37.52,7.04,54.24,1.12,354,225982.98
B4,311.18,12.51,0.7086,16.13,12.53,45.83,,120,411177.82
