symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season
513100.SH,2023-08-31T00:00:00,2023-09-18T00:00:00,12,long,1.14,1.124,-1275.2,False,1,0.0155,0.6208,57.67,0.88,0.1935,0.25,0.25,0.7642,3.7562,1.112,2023Q3
518880.SH,2023-08-24T00:00:00,2023-09-27T00:00:00,24,long,4.464,4.511,12558.4,True,4,0.0185,0.6187,63.52,1.88,0.4865,0.3333,0.6667,0.0045,0.5185,4.4218,2023Q3
518880.SH,2023-10-30T00:00:00,2023-11-08T00:00:00,7,long,4.609,4.551,-2035.8,False,1,0.035,0.6588,63.12,0.96,0.1143,0.7222,0.0833,0.7545,0.7551,4.5059,2023Q4
513100.SH,2023-12-12T00:00:00,2024-01-03T00:00:00,15,long,1.178,1.191,5787.6,True,4,0.0109,0.6815,64.42,1.4,1.0092,0.25,0.5,0.407,1.0248,1.1544,2023Q4
510500.SH,2024-03-11T00:00:00,2024-03-26T00:00:00,11,long,5.3206,5.1514,-2571.84,False,2,0.133,0.7074,62.81,0.5,0.2895,0.8969,0.974,0.6543,-2.4448,5.0744,2024Q1
159915.SZ,2024-03-04T00:00:00,2024-03-27T00:00:00,17,long,1.783,1.742,-4329.6,False,4,0.0482,0.7226,63.25,0.46,0.0415,0.3448,0.5517,0.7612,-4.942,1.6594,2024Q1
513100.SH,2024-01-11T00:00:00,2024-04-11T00:00:00,57,long,1.223,1.321,43041.6,True,4,0.011,0.6801,63.68,1.1,0.1818,0.5,0.75,0.4186,2.7511,1.2041,2024Q1
518880.SH,2024-03-06T00:00:00,2024-05-06T00:00:00,38,long,4.824,5.254,89956.0,True,4,0.0242,0.6921,79.93,1.34,1.405,0.9524,1.0,0.3093,0.8419,4.6686,2024Q1
518880.SH,2024-05-20T00:00:00,2024-06-03T00:00:00,10,long,5.55,5.296,-4978.4,False,1,0.0642,0.7086,71.13,1.5,0.0467,0.4627,0.4627,0.8616,4.7865,5.3409,2024Q2
513100.SH,2024-05-16T00:00:00,2024-07-18T00:00:00,44,long,1.358,1.495,54526.0,True,4,0.0127,0.6634,67.62,1.06,1.5748,0.6667,0.6667,0.5824,1.116,1.3005,2024Q2
518880.SH,2024-08-19T00:00:00,2024-09-04T00:00:00,12,long,5.513,5.463,-2330.0,False,2,0.0557,0.7092,59.56,1.08,0.1257,0.3235,0.5882,0.7067,0.4176,5.4152,2024Q3
513100.SH,2024-10-15T00:00:00,2024-11-01T00:00:00,13,long,1.476,1.442,-3325.2,False,2,0.022,0.7115,62.25,0.97,0.8636,0.8889,0.9444,0.4343,-1.4364,1.425,2024Q4
518880.SH,2024-09-25T00:00:00,2024-11-07T00:00:00,26,long,5.74,5.86,13488.0,True,4,0.0458,0.7091,72.41,1.56,0.1747,0.3404,0.3404,0.5264,1.6032,5.5644,2024Q3
510500.SH,2024-09-25T00:00:00,2024-11-18T00:00:00,33,long,4.6992,5.7908,62002.88,True,4,0.0907,0.6659,62.67,2.29,0.28,0.2888,0.0936,0.2524,-3.8149,4.5108,2024Q3
159915.SZ,2024-09-26T00:00:00,2024-11-25T00:00:00,37,long,1.686,2.132,62975.2,True,4,0.0369,0.684,73.14,1.89,1.0027,0.9011,1.0,0.4253,-3.9278,1.5334,2024Q3
513100.SH,2024-11-11T00:00:00,2025-01-13T00:00:00,44,long,1.534,1.592,17005.6,True,4,0.0194,0.707,68.14,0.81,0.4124,0.6667,0.8333,0.3468,0.8759,1.471,2024Q4
518880.SH,2024-12-12T00:00:00,2025-02-28T00:00:00,49,long,6.052,6.444,37161.6,True,4,0.061,0.717,62.3,0.78,0.3607,0.4828,0.931,0.7917,2.3319,5.9036,2024Q4
159915.SZ,2025-02-07T00:00:00,2025-03-03T00:00:00,16,long,2.131,2.154,2631.2,True,4,0.0518,0.718,58.68,1.64,0.4054,0.6456,0.6456,0.284,-1.6954,2.0212,2025Q1
510500.SH,2025-02-07T00:00:00,2025-03-24T00:00:00,31,long,5.7874,5.9164,6708.0,True,4,0.1139,0.7158,61.55,1.26,0.7147,0.5373,0.5989,0.2925,-1.1129,5.5098,2025Q1
518880.SH,2025-03-14T00:00:00,2025-05-09T00:00:00,36,long,6.673,7.531,93693.6,True,4,0.0548,0.6968,68.2,1.32,0.8942,0.6452,0.3548,0.6804,3.6203,6.5416,2025Q1
159915.SZ,2025-05-12T00:00:00,2025-05-27T00:00:00,11,long,2.037,1.967,-5390.0,False,2,0.0413,0.7105,61.96,1.13,0.7264,0.8,1.0,0.1775,-1.8558,1.9197,2025Q2
518880.SH,2025-06-13T00:00:00,2025-06-27T00:00:00,10,long,7.588,7.326,-4034.8,False,1,0.1017,0.6949,61.4,1.62,0.6785,0.3373,0.2169,0.5859,4.0955,7.401,2025Q2
513100.SH,2025-05-06T00:00:00,2025-09-01T00:00:00,83,long,1.457,1.673,44668.8,True,4,0.0312,0.6659,55.02,1.0,0.0321,0.75,0.1875,0.5821,-5.0391,1.3974,2025Q2
159915.SZ,2025-07-11T00:00:00,2025-10-13T00:00:00,60,long,2.185,3.054,163372.0,True,4,0.034,0.7204,68.24,1.29,0.0588,0.3721,0.6047,0.1034,1.0693,2.093,2025Q3
510500.SH,2025-06-25T00:00:00,2025-10-17T00:00:00,76,long,5.8688,7.0608,106803.2,True,4,0.07,0.7123,64.25,1.84,0.8657,0.9102,0.9465,0.0374,-1.3763,5.7214,2025Q2
518880.SH,2025-09-02T00:00:00,2025-10-30T00:00:00,36,long,7.67,8.704,138556.0,True,4,0.0515,0.7282,73.69,2.29,0.233,0.9195,0.0805,0.1179,0.4273,7.4538,2025Q3
159915.SZ,2025-10-29T00:00:00,2025-11-18T00:00:00,14,long,3.3,3.051,-4606.5,False,1,0.0941,0.6708,66.44,0.81,0.0319,0.9848,1.0,0.7037,11.5893,3.1076,2025Q4
513100.SH,2025-09-15T00:00:00,2025-11-18T00:00:00,40,long,1.727,1.844,51901.2,True,4,0.0126,0.6423,63.75,0.86,0.7143,0.8889,1.0,0.0434,2.6443,1.6947,2025Q3
518880.SH,2025-12-12T00:00:00,2025-12-31T00:00:00,13,long,9.227,9.301,4854.4,True,4,0.1043,0.7284,62.07,0.89,0.2205,0.6667,0.9231,0.409,5.7224,9.0228,2025Q4
159915.SZ,2026-01-12T00:00:00,2026-01-30T00:00:00,14,long,3.371,3.335,-921.6,False,1,0.0678,0.6971,67.16,1.98,0.5162,0.475,0.8667,0.5151,1.3038,3.2112,2026Q1
510500.SH,2025-12-22T00:00:00,2026-02-02T00:00:00,28,long,7.3129,8.049,45343.76,True,4,0.1136,0.6861,57.43,1.09,0.4375,0.6243,0.6243,0.5409,0.3662,7.1381,2025Q4
518880.SH,2026-01-12T00:00:00,2026-03-13T00:00:00,38,long,9.777,10.802,55350.0,True,4,0.128,0.703,66.44,0.85,0.4297,0.0364,0.7455,0.5572,4.3774,9.4732,2026Q1
510500.SH,2026-04-16T00:00:00,2026-05-29T00:00:00,28,long,8.253,8.443,7676.0,True,4,0.1779,0.6998,58.32,0.98,0.1012,0.8425,0.8767,0.8324,1.0852,7.852,2026Q2
159915.SZ,2026-04-16T00:00:00,2026-06-08T00:00:00,34,long,3.624,3.827,16158.8,True,4,0.0903,0.6609,68.15,1.25,0.3212,0.9027,1.0,0.8233,1.0228,3.318,2026Q2
