strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,346.43,12.78,0.7043,39.46,13.29,,,4,446433.55
B2,303.75,11.87,0.6385,28.56,12.34,55.5,2.09,200,403749.42
B3,120.99,6.58,0.3841,37.57,6.84,52.12,1.36,307,220992.38
B4,622.22,17.23,1.1031,13.84,17.92,50.0,4.78,156,722219.65
