strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,233.07,10.16,0.355,56.91,10.55,,,4,333070.33
B2,447.27,14.64,0.4336,41.46,15.23,55.0,1.82,200,547268.49
B3,241.21,10.37,0.3996,40.08,10.78,49.86,1.43,349,341210.29
B4,492.58,15.38,0.87,8.68,15.99,48.39,3.92,155,592582.58
