strategy,总收益率%,年化收益%,夏普,最大回撤%,年化波动%,胜率%,盈亏比,交易次数,最终净值
B1,358.79,13.03,0.7129,39.47,13.55,,,4,458791.43
B2,323.74,12.31,0.6583,28.63,12.8,55.5,2.16,200,423739.96
B3,137.17,7.19,0.4131,37.56,7.47,50.49,1.4,309,237171.73
B4,396.55,13.75,0.8129,18.45,14.3,46.75,2.7,169,496553.16
